"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2285","Should display error for invalid User & Password credentials","","Wed Jan 29 23:09:48 ICT 2025","passed","Wed Jan 29 23:09:51 ICT 2025","","Login Functionality","Login Functionality","Should display error for invalid User & Password credentials"
"","14429","Should log in successfully and view all meter data list","Meters Module - View Meter Details and Create New Meter Data","Wed Jan 29 23:12:46 ICT 2025","passed","Wed Jan 29 23:13:01 ICT 2025","","","",""
"","2110","Should display error for invalid Password credentials","Login Functionality","Wed Jan 29 23:09:43 ICT 2025","passed","Wed Jan 29 23:09:46 ICT 2025","","","",""
"","25846","Should log in successfully and view all Groups data list","Meters Module - View Detail Data Of Meter Groups List and Page Count","Wed Jan 29 23:11:49 ICT 2025","passed","Wed Jan 29 23:12:15 ICT 2025","","","",""
"","14624","Should log in successfully and view all meter data list","","Wed Jan 29 23:12:46 ICT 2025","passed","Wed Jan 29 23:13:01 ICT 2025","","Meters Module - View Meter Details and Create New Meter Data","Meters Module - View Meter Details and Create New Meter Data","Should log in successfully and view all meter data list"
"","19179","Should log in successfully and view all meter data list","","Wed Jan 29 23:14:27 ICT 2025","passed","Wed Jan 29 23:14:46 ICT 2025","","Meters Module - View Detail Data Meters List and Page Count","Meters Module - View Detail Data Meters List and Page Count","Should log in successfully and view all meter data list"
"","2210","Should display error for invalid Password credentials","","Wed Jan 29 23:09:43 ICT 2025","passed","Wed Jan 29 23:09:46 ICT 2025","","Login Functionality","Login Functionality","Should display error for invalid Password credentials"
"","2210","Should handle ""Forgot Password"" workflow","","Wed Jan 29 23:09:51 ICT 2025","passed","Wed Jan 29 23:09:53 ICT 2025","","Login Functionality","Login Functionality","Should handle ""Forgot Password"" workflow"
"","23002","Should log in successfully and view all meter group data list","Meters Module - View All Data Meter Groups List and Page Count","Wed Jan 29 23:09:56 ICT 2025","passed","Wed Jan 29 23:10:19 ICT 2025","","","",""
"","28080","Should log in successfully and view all meter data list","Meters Module - View Meter Details and Create New Meter Data","Wed Jan 29 23:10:54 ICT 2025","passed","Wed Jan 29 23:11:22 ICT 2025","","","",""
"","22502","Should log in successfully and view all meter data list","Meters Module - View Meter Details and Create New Meter Data","Wed Jan 29 23:10:27 ICT 2025","passed","Wed Jan 29 23:10:50 ICT 2025","","","",""
"","834","Should log in successfully and view all meter data list to create new meter group data","","Wed Jan 29 23:10:23 ICT 2025","broken","Wed Jan 29 23:10:23 ICT 2025","","Meters Module - Create New Meter Group Data","Meters Module - Create New Meter Group Data","Should log in successfully and view all meter data list to create new meter group data"
"","2091","Should handle ""Forgot Password"" workflow","Login Functionality","Wed Jan 29 23:09:51 ICT 2025","passed","Wed Jan 29 23:09:53 ICT 2025","","","",""
"","5062","Should log in successfully with valid credentials","","Wed Jan 29 23:09:38 ICT 2025","passed","Wed Jan 29 23:09:43 ICT 2025","","Login Functionality","Login Functionality","Should log in successfully with valid credentials"
"","2201","Should display error for invalid User & Password credentials","Login Functionality","Wed Jan 29 23:09:48 ICT 2025","passed","Wed Jan 29 23:09:51 ICT 2025","","","",""
"","25918","Should log in successfully and view all Groups data list","","Wed Jan 29 23:11:49 ICT 2025","passed","Wed Jan 29 23:12:15 ICT 2025","","Meters Module - View Detail Data Of Meter Groups List and Page Count","Meters Module - View Detail Data Of Meter Groups List and Page Count","Should log in successfully and view all Groups data list"
"","18956","Should log in successfully and view all meter data list","","Wed Jan 29 23:14:04 ICT 2025","passed","Wed Jan 29 23:14:23 ICT 2025","","Meters Module - View All Data Meters List and Page Count","Meters Module - View All Data Meters List and Page Count","Should log in successfully and view all meter data list"
"","22541","Should log in successfully and Delete Meter Data Per Item in meter data list","","Wed Jan 29 23:13:12 ICT 2025","broken","Wed Jan 29 23:13:34 ICT 2025","","Meters Module - Delete Meter Data Per Item","Meters Module - Delete Meter Data Per Item","Should log in successfully and Delete Meter Data Per Item in meter data list"
"","22432","Should log in successfully and Edit/Update Meter Data Details","","Wed Jan 29 23:13:38 ICT 2025","passed","Wed Jan 29 23:14:00 ICT 2025","","Meters Module - Edit/Update Meter Data Details","Meters Module - Edit/Update Meter Data Details","Should log in successfully and Edit/Update Meter Data Details"
"","4850","Should log in successfully with valid credentials","Login Functionality","Wed Jan 29 23:09:38 ICT 2025","passed","Wed Jan 29 23:09:43 ICT 2025","","","",""
"","2460","Should display error for invalid User credentials","Login Functionality","Wed Jan 29 23:09:46 ICT 2025","passed","Wed Jan 29 23:09:48 ICT 2025","","","",""
"","22166","Should log in successfully and Delete Meter Data Per Item in meter data list","Meters Module - Delete Meter Data Per Item","Wed Jan 29 23:13:12 ICT 2025","broken","Wed Jan 29 23:13:34 ICT 2025","","","",""
"","23354","Should log in successfully and view all meter group data list","Meters Module - View All Data Meter Groups List and Page Count","Wed Jan 29 23:12:19 ICT 2025","passed","Wed Jan 29 23:12:42 ICT 2025","","","",""
"","19082","Should log in successfully and view all meter data list","Meters Module - View Detail Data Meters List and Page Count","Wed Jan 29 23:14:27 ICT 2025","passed","Wed Jan 29 23:14:46 ICT 2025","","","",""
"","18451","Should log in successfully and view all meter group data list","Meters Module - View All Data Meter Groups List and Page Count","Wed Jan 29 23:11:26 ICT 2025","passed","Wed Jan 29 23:11:44 ICT 2025","","","",""
"","23891","Should log in successfully and view all meter group data list","","Wed Jan 29 23:12:19 ICT 2025","passed","Wed Jan 29 23:12:43 ICT 2025","","Meters Module - View All Data Meter Groups List and Page Count","Meters Module - View All Data Meter Groups List and Page Count","Should log in successfully and view all meter group data list"
"","18815","Should log in successfully and view all meter data list","Meters Module - View All Data Meters List and Page Count","Wed Jan 29 23:14:04 ICT 2025","passed","Wed Jan 29 23:14:23 ICT 2025","","","",""
"","2539","Should display error for invalid User credentials","","Wed Jan 29 23:09:46 ICT 2025","passed","Wed Jan 29 23:09:48 ICT 2025","","Login Functionality","Login Functionality","Should display error for invalid User credentials"
"","22253","Should log in successfully and Edit/Update Meter Data Details","Meters Module - Edit/Update Meter Data Details","Wed Jan 29 23:13:38 ICT 2025","passed","Wed Jan 29 23:14:00 ICT 2025","","","",""
