Meter Name,Meter Description,Meter Type
Meter Baru Ahmad,Meter testing Ahmad,characteristic
meter-1737680132021 - Updated,description-1737680132021 - Updated1,continuous
meter-1737679883091 - Updated,description-1737679883091 - Updated,continuous
meter-1737679610671 - Updated,description-1737679610671 - Updated,continuous
meter-1737679527841 - Updated,description-1737679527841 - Updated,continuous
meter-1737679265209 - Updated,description-1737679265209 - Updated,continuous
meter-1737679090841 - Updated,description-1737679090841 - Updated,continuous
meter-1737678882589 - Updated,description-1737678882589 - Updated,continuous
meter-1737676609049 - Updated,description-1737676609049 - Updated,continuous
meter-1737676509766 - Updated,description-1737676509766 - Updated,continuous
meter-1737676284710 - Updated,description-1737676284710 - Updated,continuous
gNumcfmV5700,New Meter Description,continuous
meter-1737676027662 - Updated,description-1737676027662 - Updated,continuous
QptDdszU7966,New Meter Description,continuous
meter-1737675908795 - Updated,description-1737675908795 - Updated,continuous
meter-1737675801644 - Updated,description-1737675801644 - Updated,continuous
WCdwuyHg8257,New Meter Description,continuous
MtBOBpmn6007,New Meter Description,continuous
JlUXVlNc2308,New Meter Description,continuous
TUNHpLOW2579,New Meter Description,continuous
meter-1737674993635 - Updated,description-1737674993635 - Updated,continuous
meter-1737674816902,description-1737674816902,continuous
MeterName_1,New Meter Description,continuous
meter-1737674235871,description-1737674235871,continuous
meter-64-name,meter-64-meter_description,continuous
sdfsdf,sf,gauge
MTR12345,New Meter Description,continuous
meter-1737674061834,description-1737674061834,continuous
A New Meter 4,Sample data,continuous
A New Meter,Sample data,continuous
MTR-testing-022,MTR-testing-022,gauge
meter-63 - Updated,meter-63 - Updated,continuous
meter-61 - Updated,meter-611 - Updated,continuous
meter-6,meter-6,continuous
meter-6 - Updated,meter-6 - Updated,continuous
meter-5 - Updated,meter-5 - Updated,continuous
meter-4 - Updated,meter-4 - Updated,continuous
meter-3 - Updated,meter-3 - Updated,continuous
meter-2meter-2- Updated,meter-2meter-2- Updated,continuous
meter-1meter-1- Updated,meter-1meter-1- Updated,continuous
samrt123,samrt123,gauge
meter22,meter_desc1,continuous
meter1,meter_desc1,continuous
MTR-testing-0004,MTR-testing-0004,gauge
MTR-testing-0003,MTR-testing-0003,gauge
MTR-testing-0002,MTR-testing-0002,gauge
MTR-testing-0001,MTR-testing-0001,gauge
MTR-testing-0000,MTR-testing-0000,gauge
MTR-testing-002,MTR-testing-002,gauge
MTR-testing-001,MTR-testing-001,gauge
MTR-testing-000,MTR-testing-000,continuous
Meter test -rs,Meter buat test -rs,characteristic
tester01,description tester01description tester01 updatedescription tester01 updatedescription tester01 update,gauge
newmeter1,descriptionmeter,gauge
Meter example 1,Meter description example here,gauge
Nez Test Meter,Hanya testing,gauge
Test Meter Gauge,gauge meter desc edit to continuoius,continuous
character meter,character,characteristic
VIB BR A-J,meter description here,gauge
VIB BR A-V,deskripsi meter vertical,gauge
VIB BR A-H,deskripsi meter,continuous
